id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1428380374846029825,1428380374846029825,2021-08-19 17:36:34 CEST,2021-08-19,17:36:34,+0200,1061914512813633537,cdezze,Citizen_Dezze,,"Erst die Truppen abziehen, und dann Ortskräfte holen! Finde den Fehler! #NieMehrCDU #noafd #Bundestagswahl2021",de,[],[],[],0,0,0,"['niemehrcdu', 'noafd', 'bundestagswahl2021']",[],https://twitter.com/CDezze/status/1428380374846029825,False,https://twitter.com/phoenix_de/status/1428378858542174216,0,,,,,,,,[],,,,
1428379636564647945,1428379636564647945,2021-08-19 17:33:38 CEST,2021-08-19,17:33:38,+0200,3095972155,amnazarek,Annemarie Nazarek,,Habe soeben meine Wahlunterlagen für die Briefwahl beantragt. So kann mir keine Quarantäne oder sonstwas mehr dazwischen kommen. Geht easy hier:   https://t.co/NBjm9be6BZ  #Briefwahl #Bundestagswahl2021,de,[],['https://www.briefwahl-beantragen.de/Bundeslaender'],[],0,0,5,"['briefwahl', 'bundestagswahl2021']",[],https://twitter.com/AMNazarek/status/1428379636564647945,False,,0,,,,,,,,[],,,,
1428379512878796810,1428379512878796810,2021-08-19 17:33:08 CEST,2021-08-19,17:33:08,+0200,45843162,g_hac,Suzuki,,Zum ersten Mal! #Erstwahl grün #Bundestagswahl2021 #Briefwahl  War schwer. Kostete Überwindung - aber hey #Radfahrer - da muss man zusammenhalten @StefanGelbhaar,de,"[{'screen_name': 'stefangelbhaar', 'name': 'stefan gelbhaar', 'id': '426582569'}]",[],[],0,0,1,"['erstwahl', 'bundestagswahl2021', 'briefwahl', 'radfahrer']",[],https://twitter.com/G_Hac/status/1428379512878796810,False,,0,,,,,,,,[],,,,
1428378650311811076,1428378650311811076,2021-08-19 17:29:42 CEST,2021-08-19,17:29:42,+0200,24677217,wwu_muenster,Universität Münster,,"Um Bürgerinnen und Bürgern bei der Wahlentscheidung zu helfen, haben Politikwissenschaftler vom @IfPol_WWU den #WahlKompass entwickelt. Er soll für die #Bundestagswahl2021 mit den wichtigsten Themen und Positionen der Parteien vertraut machen. Infos/Links:  https://t.co/vbcphvLtms",de,"[{'screen_name': 'ifpol_wwu', 'name': 'ifpol wwu', 'id': '898078336899002368'}]",['https://www.uni-muenster.de/news/view.php?cmdid=11968'],[],0,9,16,"['wahlkompass', 'bundestagswahl2021']",[],https://twitter.com/WWU_Muenster/status/1428378650311811076,False,,0,,,,,,,,[],,,,
1428377498480435200,1428377498480435200,2021-08-19 17:25:08 CEST,2021-08-19,17:25:08,+0200,1218112540124811264,kai81482655,Kai,,"Ich bin mir nicht sicher, ob es der Ungeschicklichkeit von @ABaerbock oder der skrupelosen Zielgerichtetheit der politischen Gegner und ihrem fast schon fanatischem Kampf gegen die @Die_Gruenen  geschuldet ist, dass die Umfragewerte sich so gewandelt haben. #Bundestagswahl2021",de,"[{'screen_name': 'abaerbock', 'name': 'annalena baerbock', 'id': '2179010672'}, {'screen_name': 'die_gruenen', 'name': 'bündnis 90/die grünen', 'id': '14553288'}]",[],[],0,0,0,['bundestagswahl2021'],[],https://twitter.com/Kai81482655/status/1428377498480435200,False,https://twitter.com/heuteshow/status/1428238000786485250,0,,,,,,,,[],,,,
1428375352208932865,1428375352208932865,2021-08-19 17:16:36 CEST,2021-08-19,17:16:36,+0200,212658827,m_hof,Markus Hofmann,,"Die @fdp hat sich während der Pandemie zurückgekämpft. Und könnte in der #Bundestagswahl2021 das Zünglein an der Waage sein. Wie positioniert sich die @fdp vor der Wahl? Das Gespräch mit @c_lindner im #EchoderZeit @SimoneHulliger, heute, 18 Uhr SRF1/4, 19 Uhr SRF2/4 @SRF @srfnews  https://t.co/fsh8wruXCs",de,"[{'screen_name': 'fdp', 'name': 'fdp', 'id': '39475170'}, {'screen_name': 'fdp', 'name': 'fdp', 'id': '39475170'}, {'screen_name': 'c_lindner', 'name': 'christian lindner', 'id': '122104353'}, {'screen_name': 'simonehulliger', 'name': 'simone hulliger', 'id': '720585510582923264'}, {'screen_name': 'srf', 'name': 'srf', 'id': '187853842'}, {'screen_name': 'srfnews', 'name': 'srf news', 'id': '17864468'}]",[],['https://pbs.twimg.com/media/E9Kav1sX0AYkVUP.jpg'],2,2,6,"['bundestagswahl2021', 'echoderzeit']",[],https://twitter.com/m_hof/status/1428375352208932865,False,,1,https://pbs.twimg.com/media/E9Kav1sX0AYkVUP.jpg,,,,,,,[],,,,
1428374460038537221,1428374460038537221,2021-08-19 17:13:03 CEST,2021-08-19,17:13:03,+0200,18354826,goia,goia,,"Liebe @watch_union ihr habt eine größere Reichweite, könnt ihr das verbreiten? Das könnte am Ende wahlentscheidend sein. Solange die 5 % Hürde besteht, verfallen Millionen von Stimmen für Splitterparteien und gehen an die größte Partei, in diesem Fall die CDU. #Bundestagswahl2021",de,"[{'screen_name': 'watch_union', 'name': 'unionwatch', 'id': '859101343356772353'}]",[],[],1,2,8,['bundestagswahl2021'],[],https://twitter.com/goia/status/1428374460038537221,False,,0,,,,,,,,[],,,,
1428374430963621898,1428374430963621898,2021-08-19 17:12:56 CEST,2021-08-19,17:12:56,+0200,1005906686534672384,schattenhase1,Schattenhase?,,Wenn ihr wahlberechtigt seid...WIE werdet ihr bei der #Bundestagswahl2021 wählen? 🗳️ Und warum? #btw21 #BTWahl2021 #Briefwahl #Wahllokal,de,[],[],[],2,0,1,"['bundestagswahl2021', 'btw21', 'btwahl2021', 'briefwahl', 'wahllokal']",[],https://twitter.com/Schattenhase1/status/1428374430963621898,False,,0,,,,,,,,[],,,,
1428372389302358024,1428372389302358024,2021-08-19 17:04:50 CEST,2021-08-19,17:04:50,+0200,815803400029962240,mrcbrtgm,Marc Braeutigam,,"Stehen an der Ampel, rechts neben uns ein @CDUNRW_de Wahlplakat, meine Tochter:”warum guckt der mich so blöd an?” &lt;3 hach, MEINE Tochter. #Bundestagswahl2021 #CDUnwaehlbar",de,"[{'screen_name': 'cdunrw_de', 'name': 'cdu nordrhein-westfalen', 'id': '102371677'}]",[],[],0,0,0,"['bundestagswahl2021', 'cdunwaehlbar']",[],https://twitter.com/mrcbrtgm/status/1428372389302358024,False,,0,,,,,,,,[],,,,
1428369446754607110,1428368198819147777,2021-08-19 16:53:08 CEST,2021-08-19,16:53:08,+0200,2391069391,tobiasschminke,Tobias Gerhard Schminke,,@jonworth SPD-GRÜNE-LINKE is — in the Kantar poll you're referring to  — mathematically possible. Unless I miscalculated we have 47% for these parties vs. 45% for CDU/CSU-FDP-AfD.   #Bundestagswahl #Bundestagswahl2021,en,[],[],[],2,0,0,"['bundestagswahl', 'bundestagswahl2021']",[],https://twitter.com/TobiasSchminke/status/1428369446754607110,False,,0,,,,,,,,"[{'screen_name': 'jonworth', 'name': 'Jon Worth', 'id': '17442320'}]",,,,
